日期	大盘涨幅	股票涨幅	同步比例
2014/12/04	4.32	6.69	1.55
2014/12/05	1.32	4.09	3.1
2014/12/08	2.81	4.93	1.75
2014/12/09	-5.43	-10.12	1.86
2014/12/10	2.93	3.55	1.21
2014/12/11	-0.49	-1.88	3.84
2014/12/12	0.42	0.09	0.21
2014/12/15	0.52	-2.62	-5.04
2014/12/16	2.31	6.09	2.64
2014/12/17	1.31	6.84	5.22
2014/12/18	-0.11	-3.16	28.73
2014/12/19	1.67	0.82	0.49
2014/12/22	0.61	2.27	3.72
2014/12/23	-3.03	-3.88	1.28
2014/12/24	-1.98	-4.69	2.37
2014/12/25	3.36	4.49	1.34
2014/12/26	2.77	2.81	1.01
2014/12/29	0.33	-1.21	-3.67
2014/12/30	-0.07	3.91	-55.86
2014/12/31	2.18	2.27	1.04
2015/01/05	3.58	1.15	0.32
2015/01/06	0.03	-1.51	-50.33
2015/01/07	0.67	-1.92	-2.87
2015/01/08	-2.39	-3.45	1.44
2015/01/09	-0.24	0.81	-3.38
2015/01/12	-1.71	-2.09	1.22
2015/01/13	0.19	-0.58	-3.05
2015/01/14	-0.4	0.91	-2.27
2015/01/15	3.54	3.69	1.04
2015/01/16	1.2	0.08	0.07
2015/01/19	-7.7	-10.11	1.31
2015/01/20	1.82	0.0	0.0
2015/01/21	4.74	4.31	0.91
2015/01/22	0.59	-0.84	-1.42
2015/01/23	0.25	0.76	3.04
2015/01/26	0.94	-0.42	-0.45
2015/01/27	-0.89	-2.54	2.85
2015/01/28	-1.41	0.52	-0.37
2015/01/29	-1.31	-1.12	0.85
2015/01/30	-1.59	0.17	-0.11
2015/02/02	-2.56	-2.18	0.85
2015/02/03	2.45	2.41	0.98
2015/02/04	-0.96	-1.74	1.81
2015/02/05	-1.18	0.62	-0.53
2015/02/06	-1.93	-2.11	1.09
2015/02/09	0.62	0.09	0.15
2015/02/10	1.5	1.89	1.26
2015/02/11	0.51	-0.26	-0.51
2015/02/12	0.5	0.97	1.94
2015/02/13	0.96	0.61	0.64
2015/02/16	0.58	-0.17	-0.29
2015/02/17	0.76	0.44	0.58
2015/02/25	-0.56	-1.3	2.32
2015/02/26	2.15	1.94	0.9
2015/02/27	0.36	-0.6	-1.67
2015/03/02	0.78	0.35	0.45
2015/03/03	-2.19	-3.12	1.42
2015/03/04	0.51	-0.27	-0.53
2015/03/05	-0.95	-1.34	1.41
2015/03/06	-0.22	0.45	-2.05
2015/03/09	1.89	5.33	2.82
2015/03/10	-0.49	-2.75	5.61
2015/03/11	0.15	0.71	4.73
2015/03/12	1.78	5.35	3.01
2015/03/13	0.7	2.75	3.93
2015/03/16	2.26	2.83	1.25
2015/03/17	1.55	-0.08	-0.05
2015/03/18	2.13	0.71	0.33
2015/03/19	0.14	-2.11	-15.07
2015/03/20	0.98	0.88	0.9
2015/03/23	1.95	0.71	0.36
2015/03/24	0.1	-0.47	-4.7
2015/03/25	-0.83	-2.92	3.52
2015/03/26	0.58	1.38	2.38
2015/03/27	0.24	-0.24	-1.0
2015/03/30	2.59	3.95	1.53
2015/03/31	-1.02	0.54	-0.53
2015/04/01	1.66	1.39	0.84
2015/04/02	0.41	-1.06	-2.59
2015/04/03	1.0	0.31	0.31
2015/04/07	2.52	6.13	2.43
2015/04/08	0.84	6.71	7.99
2015/04/09	-0.93	0.47	-0.51
2015/04/10	1.94	10.09	5.2
2015/04/13	2.17	1.1	0.51
2015/04/14	0.34	-1.45	-4.26
2015/04/15	-1.24	2.15	-1.73
2015/04/16	2.71	2.1	0.77
2015/04/17	2.2	-0.41	-0.19
2015/04/20	-1.64	-3.72	2.27
2015/04/21	1.81	1.6	0.88
2015/04/22	2.44	2.36	0.97
2015/04/23	0.36	-1.71	-4.75
2015/04/24	-0.47	-3.12	6.64
2015/04/27	3.04	1.73	0.57
2015/04/28	-1.13	1.71	-1.51
2015/04/29	0.01	-0.3	-30.0
2015/04/30	-0.78	0.3	-0.38
2015/05/04	0.87	-1.08	-1.24
