2014/11/11	2.51
2014/11/12	0.69
2014/11/13	1.39
2014/11/14	52.33
2014/11/17	2.73
2014/11/18	-2.72
2014/11/19	-124.18
2014/11/20	0.62
2014/11/21	1.18
2014/11/24	-0.69
2014/11/25	-0.2
2014/11/26	-1.62
2014/11/28	-0.14
2014/12/01	-3.77
2014/12/02	0.18
2014/12/03	5.16
2014/12/04	0.29
2014/12/05	3.91
2014/12/08	0.09
2014/12/09	0.58
2014/12/10	1.14
2014/12/11	-2.41
2014/12/12	7.66
2014/12/15	1.54
2014/12/16	-0.51
2014/12/17	-2.31
2014/12/18	9.7
2014/12/19	-0.44
2014/12/22	40.46
2014/12/23	-0.32
2014/12/24	0.37
2014/12/25	0.14
2014/12/26	0.63
2014/12/29	1.38
2014/12/30	0.0
2014/12/31	0.42
2015/01/05	0.97
2015/01/06	8.25
2015/01/07	-1.35
2015/01/08	-0.1
2015/01/09	-4.19
2015/01/12	0.41
2015/01/13	4.37
2015/01/14	3.0
2015/01/15	0.24
2015/01/16	2.17
2015/01/19	1.6
2015/01/20	0.13
2015/01/21	0.72
2015/01/22	1.58
2015/01/23	8.08
2015/01/26	3.91
2015/01/27	1.63
2015/01/28	0.73
2015/01/29	-10.01
2015/01/30	0.59
2015/02/02	-3.33
2015/02/03	0.65
2015/02/04	1.52
2015/02/05	0.94
2015/02/06	0.81
2015/02/09	-0.81
2015/02/10	0.82
2015/02/11	2.19
2015/02/12	0.84
2015/02/13	3.16
2015/02/16	0.88
2015/02/17	3.22
2015/02/25	1.79
2015/02/26	0.34
2015/02/27	-0.86
2015/03/02	4.11
2015/03/03	-0.67
2015/03/04	4.52
2015/03/05	1.42
2015/03/06	14.73
2015/03/09	0.05
2015/03/10	-18.58
2015/03/11	-6.44
2015/03/12	-2.5
2015/03/13	1.85
2015/03/16	0.9
2015/03/17	0.7
2015/03/18	0.76
2015/03/19	-6.32
2015/03/20	2.5
2015/03/23	0.56
2015/03/24	36.83
2015/03/25	-2.5
2015/03/26	-1.48
2015/03/27	0.9
2015/04/17	0.0
2015/04/20	1.55
2015/04/21	1.65
2015/04/22	-0.48
2015/04/23	-2821.52
2015/04/24	1.29
2015/04/27	0.09
2015/04/28	2.48
